SPY XLF IWM EEM QQQ VWO EFA FXI XLI TZA XLE SDS SLV FAZ GDX EWJ SPXU EWZ FAS TVIX USO GLD TBT UNG
294.78 27.97 152.05 41.1 191.28 40.88 65.53 40.48 76.56 45.42 54.84 29.12 16.41 33.98 26.93 56.69 25.45 41.8 77.77 106.9 11.22 140.46 25.37 20.07
296.78 28.36 153.48 41.47 192.97 41.18 65.89 40.95 77.02 44.14 55.82 28.73 16.41 32.85 26.39 57.1 24.93 42.17 80.25 101.2 11.21 139.79 25.81 19.41
295.81 28.28 153.65 41.5 191.43 41.15 65.73 40.61 77.62 44.06 56.54 28.93 16.37 33.72 26.35 57.17 25.19 43.21 78.21 103.7 11.34 140.2 25.47 19.37
296.67 28.4 153.84 41.51 191.8 41.17 66.09 40.5 77.61 43.89 57.01 28.76 16.39 33.45 26.62 57.41 24.98 43.81 78.81 101.5 11.65 140.53 25.43 19.23
297.15 28.36 153.62 41.51 193.67 41.22 66.2 40.47 77.72 44.08 56.77 28.67 16.65 33.01 27.33 57.43 24.87 43.48 79.82 98.7 11.73 141.53 25.54 19.5
298.37 28.49 154.43 41.81 195.22 41.41 66.27 40.72 78.21 43.39 57.23 28.45 16.89 32.83 27.54 57.41 24.58 44.02 80.32 92.8 11.83 141.86 25.79 19.48
300.05 28.64 155.77 42.05 197.14 41.73 66.57 41.11 78.43 42.31 56.91 28.14 16.68 32.52 26.87 57.57 24.14 44.47 81.07 94.1 11.65 140.64 26.24 20.26
299.96 28.71 156.28 41.84 195.62 41.49 66.55 40.69 78.69 41.86 57.14 28.17 16.65 32.34 27.02 57.82 24.21 43.97 81.55 94.4 11.58 140.25 26.2 20.74
300.88 28.69 155.76 42.02 196.56 41.65 66.83 40.57 78.97 42.27 55.97 27.97 16.73 32.17 27.26 57.98 23.97 44.62 82.05 89.9 11.47 141.02 25.46 21.25
300.08 28.55 154.88 41.69 196.65 41.33 66.67 40.39 78.12 43.08 55.73 28.15 16.92 32.59 27.95 57.99 24.18 43.95 80.86 92.2 11.3 142.43 24.78 20.81
302.86 28.97 157.52 42.32 198.44 41.97 67.26 41.22 79.82 40.86 57.0 27.65 16.92 31.63 27.81 58.56 23.53 44.43 83.36 84.3 11.69 142.56 24.94 21.35
304.08 29.22 158.37 42.74 199.67 42.27 67.61 41.72 80.75 40.28 58.86 27.42 16.85 31.45 27.33 58.96 23.25 44.36 83.82 84.4 11.81 142.15 25.58 22.27
303.74 29.33 158.57 42.98 199.78 42.48 67.48 41.98 80.92 40.12 58.94 27.48 16.44 31.67 26.78 59.04 23.33 44.59 83.17 87.5 11.93 139.85 26.15 22.69
303.81 29.48 157.65 42.84 199.33 42.41 67.45 41.9 80.97 40.74 57.73 27.47 16.47 31.42 27.11 58.91 23.29 43.69 83.91 87.2 11.81 140.45 25.85 22.35
